Time(ms),Voltage(mV)
0.0,-65.0
0.01,-64.98408450569082
0.02,-64.96816901138163
0.030000000000000002,-64.95225351707245
0.04,-64.93633802276327
0.049999999999999996,-64.92042252845408
0.05999999999999999,-64.9045070341449
0.06999999999999999,-64.88859153983572
0.08,-64.87267604552653
0.09000000000000001,-64.85676055121735
0.10000000000000002,-64.84084505690817
0.11000000000000003,-64.82492956259898
0.12000000000000004,-64.8090140682898
0.13000000000000003,-64.79309857398061
0.14000000000000004,-64.77718307967143
0.15000000000000005,-64.76126758536225
0.16000000000000006,-64.74535209105306
0.17000000000000007,-64.72943659674388
0.18000000000000008,-64.7135211024347
0.19000000000000009,-64.69760560812551
0.2000000000000001,-64.68169011381633
0.2100000000000001,-64.66577461950715
0.2200000000000001,-64.64985912519796
0.23000000000000012,-64.63394363088878
0.24000000000000013,-64.6180281365796
0.2500000000000001,-64.60211264227041
0.2600000000000001,-64.58619714796123
0.27000000000000013,-64.57028165365205
0.28000000000000014,-64.55436615934286
0.29000000000000015,-64.53845066503368
0.30000000000000016,-64.5225351707245
0.31000000000000016,-64.50661967641531
0.3200000000000002,-64.49070418210613
0.3300000000000002,-64.47478868779694
0.3400000000000002,-64.45887319348776
0.3500000000000002,-64.44295769917858
0.3600000000000002,-64.4270422048694
0.3700000000000002,-64.41112671056021
0.3800000000000002,-64.39521121625103
0.39000000000000024,-64.37929572194184
0.40000000000000024,-64.36338022763266
0.41000000000000025,-64.34746473332348
0.42000000000000026,-64.3315492390143
0.43000000000000027,-64.31563374470511
0.4400000000000003,-64.29971825039593
0.4500000000000003,-64.28380275608674
0.4600000000000003,-64.26788726177756
0.4700000000000003,-64.25197176746838
0.4800000000000003,-64.23605627315919
0.4900000000000003,-64.22014077885001
0.5000000000000003,-64.20422528454083
0.5100000000000003,-64.18830979023164
0.5200000000000004,-64.17239429592246
0.5300000000000004,-64.15647880161328
0.5400000000000004,-64.14056330730409
0.5500000000000004,-64.12464781299491
0.5600000000000004,-64.10873231868572
0.5700000000000004,-64.09281682437654
0.5800000000000004,-64.07690133006736
0.5900000000000004,-64.06098583575817
0.6000000000000004,-64.04507034144899
0.6100000000000004,-64.02915484713981
0.6200000000000004,-64.01323935283062
0.6300000000000004,-63.99732385852143
0.6400000000000005,-63.98140836421224
0.6500000000000005,-63.96549286990305
0.6600000000000005,-63.94957737559386
0.6700000000000005,-63.93366188128467
0.6800000000000005,-63.91774638697548
0.6900000000000005,-63.90183089266629
0.7000000000000005,-63.8859153983571
0.7100000000000005,-63.86999990404791
0.7200000000000005,-63.85408440973872
0.7300000000000005,-63.83816891542953
0.7400000000000005,-63.82225342112034
0.7500000000000006,-63.806337926811146
0.7600000000000006,-63.790422432501956
0.7700000000000006,-63.774506938192765
0.7800000000000006,-63.758591443883574
0.7900000000000006,-63.742675949574384
0.8000000000000006,-63.72676045526519
0.8100000000000006,-63.710844960956
0.8200000000000006,-63.69492946664681
0.8300000000000006,-63.67901397233762
0.8400000000000006,-63.66309847802843
0.8500000000000006,-63.64718298371924
0.8600000000000007,-63.63126748941005
0.8700000000000007,-63.61535199510086
0.8800000000000007,-63.59943650079167
0.8900000000000007,-63.58352100648248
0.9000000000000007,-63.56760551217329
0.9100000000000007,-63.5516900178641
0.9200000000000007,-63.535774523554906
0.9300000000000007,-63.519859029245715
0.9400000000000007,-63.503943534936525
0.9500000000000007,-63.488028040627334
0.9600000000000007,-63.472112546318144
0.9700000000000008,-63.45619705200895
0.9800000000000008,-63.44028155769976
0.9900000000000008,-63.42436606339057
1.0000000000000007,-63.40845056908138
1.0100000000000005,-63.39253507477219
1.0200000000000002,-63.376619580463
1.03,-63.36070408615381
1.0399999999999998,-63.34478859184462
