Time (ms),Vert[0],Vert[1],Vert[2],Vert[3],Vert[4],Vert[5],Vert[6],Vert[7],
169.75,44.2807585544988,44.2787118143537,44.2752064451945,44.2722874032441,44.2699535425392,44.2682039483332,44.2670379335169,44.266455040492,
169.8,45.0989582382825,45.0969117871053,45.0934069830337,45.0904884613689,45.0881550493161,45.0864058105604,45.0852400417572,45.0846572744562,
169.85,45.2963664012143,45.2943198909568,45.2908149714197,45.2878963435624,45.2855628400498,45.2838135289137,45.282647710058,45.2820649171916,
169.9,45.0298484374116,45.027801974923,45.0242971487438,45.021378606749,45.0190451771889,45.0172959245799,45.0161301461981,45.0155473740049,
169.95,44.4000172183266,44.3979709307243,44.3944664464085,44.3915482189452,44.3892150603972,44.3874660223482,44.3863003923847,44.3857176960136,
170,43.4682204298908,43.4661743732037,43.4626703402912,43.4597525281683,43.4574197275179,43.4556709728334,43.4545055388922,43.4539229426657,
170.05,42.2781902933501,42.2761444688955,42.2726408899655,42.2697234955636,42.267391054869,42.2656425851836,42.2644773483983,42.2638948528961,
170.1,40.8683723360166,40.8663267061612,40.8628235076459,40.8599064632729,40.857574324203,40.8558260933324,40.8546610217533,40.854078610653,
170.15,39.2772621990586,39.2752166922468,39.2717137342613,39.2687969111997,39.2664649628308,39.2647168829455,39.2635519158123,39.2629695580713,
170.2,37.5444000340799,37.5423545431708,37.5388516162631,37.5359348217788,37.5336028980179,37.5318548376039,37.5306898839338,37.5301075330688,
170.25,35.708566165841,35.7065205451797,35.7030173646052,35.7001003366809,35.6977682117284,35.6960199919948,35.6948549280983,35.6942725209158,
170.3,33.8045766275218,33.8025306968302,33.7990269101596,33.7961093244964,33.7937767188809,33.7920281185395,33.7908627913273,33.7902802496137,
170.35,31.8603895837634,31.8583431454701,31.8548383664675,31.8519198676596,31.8495864751037,31.8478372516422,31.8466714933425,31.8460887313828,
170.4,29.8960503902512,29.8940032583282,29.8904971233238,29.8875773767314,29.8852429088544,29.8834928339318,29.882326486577,29.8817434236655,
170.45,27.924962517274,27.9229145471668,27.9194067735685,27.9164855191584,27.9141497518743,27.9123986480593,27.9112315889021,27.9106481623274,
170.5,25.9568128477146,25.9547639571287,25.9512543840586,25.9483314737981,25.9459942795408,25.9442420458288,25.943074204995,25.9424903790585,
170.55,24.001048566233,23.9989987429631,23.9954873465632,23.992562758505,23.9902241183673,23.9884707397918,23.9873021069299,23.986717876344,
170.6,22.0700165701394,22.0679658678516,22.0644527530388,22.0615265837341,22.0591865809293,22.0574321233855,22.0562627440856,22.0556781321435,
170.65,20.1811550554428,20.1791035791223,20.1755889511405,20.1726613894607,20.1703201867626,20.1685647791431,20.1673947425783,20.1668097948397,
170.7,18.3577143667987,18.3556622495588,18.3521463686399,18.3492176540556,18.3468754578423,18.3451192635661,18.3439486827945,18.3433634570225,
170.75,16.6275706586229,16.625518033539,16.62200115984,16.619071531751,16.6167285483374,16.6149717307718,16.6138007188154,16.6132152727539,
170.8,15.0201029006356,15.0180498749274,15.0145322180579,15.0116018693473,15.0092582649586,15.0075009557249,15.0063296036418,15.0057439838133,
